name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Golden,Fine Line,Harry Styles,45S5WTQEGOB1VHr1Q4FuPl,2019-12-13,85,208906,0.448,0.21,0.838,0.000131,0.131,0.254,-5.257,0.0557,139.863,4,4
deja vu,SOUR,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,2021-05-21,90,215506,0.442,0.584,0.612,5.7e-06,0.37,0.178,-7.222,0.112,180.917,2,4
Heather,Kid Krow,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,89,198040,0.357,0.584,0.425,0.0,0.322,0.27,-7.301,0.0333,102.078,5,3
comethru,"summer,",Jeremy Zucker,18uwL0vNUanqZH0ro2QcOP,2018-09-28,81,181613,0.795,0.607,0.178,0.0,0.623,0.608,-11.991,0.0574,93.982,0,4
willow,evermore,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,2020-12-11,82,214706,0.392,0.833,0.574,0.00179,0.145,0.529,-9.195,0.17,81.112,7,4
Hey There Delilah - Bonus Track,Every Second Counts,Plain White T's,3DWOTqMQGp5q75fnVsWwaN,2006,62,233280,0.522,0.831,0.453,1.21e-06,0.101,0.306,-7.859,0.0295,103.879,2,4
Circles,Hollywood's Bleeding,Post Malone,21jGcNKet2qwijlDFuPiPb,2019-09-06,88,215280,0.695,0.192,0.762,0.00244,0.0863,0.553,-3.497,0.0395,120.042,0,4
THATS WHAT I WANT,MONTERO,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,2021-09-17,94,143901,0.737,0.00614,0.846,0.0,0.0486,0.546,-4.51,0.22,87.981,1,4
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,2018-10-16,78,177666,0.815,0.223,0.518,0.0,0.104,0.877,-6.594,0.0897,151.891,7,4
Hold On,Hold On,Justin Bieber,4u4NyuceXP7Uzh7XFJKCr1,2021-03-05,82,170813,0.658,0.0106,0.634,0.0,0.132,0.29,-5.797,0.0413,139.98,1,4
Adore You,Fine Line,Harry Styles,3jjujdWJ72nww5eGnfs2E7,2019-12-13,86,207133,0.676,0.0237,0.771,7e-06,0.102,0.569,-3.675,0.0483,99.048,8,4
Chasing Pavements,19,Adele,2OuNgtXKeCSORKqdl0MxKk,2008-01-28,2,210506,0.614,0.291,0.47,0.0,0.111,0.329,-6.09,0.0255,80.045,5,4
Dancing in the Moonlight,Onka's Big Moka,Toploader,3Fzlg5r1IjhLk2qRw667od,2000,77,232693,0.632,0.0624,0.856,0.0,0.347,0.867,-3.463,0.0348,119.397,10,4
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,0RiRZpuVRbi7oqRdSMwhQY,2019-09-06,82,157560,0.755,0.533,0.522,0.0,0.0685,0.925,-4.368,0.0575,89.96,2,4
Fireflies,Ocean Eyes,Owl City,3DamFFqW32WihKkTVlwTYQ,2009-01-01,81,228346,0.512,0.0275,0.662,0.0,0.118,0.472,-6.797,0.0439,180.114,3,4
drivers license,SOUR,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,2021-05-21,92,242013,0.561,0.768,0.431,1.42e-05,0.106,0.137,-8.81,0.0578,143.875,10,4
YOUTH,Blue Neighbourhood (Deluxe),Troye Sivan,0nhBKubnVz9yFNNprBniWz,2015-12-09,73,185194,0.628,0.0625,0.737,0.0,0.0777,0.592,-4.437,0.041,91.507,7,4
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,240133,0.567,0.839,0.267,1.46e-06,0.089,0.0592,-6.502,0.0299,110.011,4,4
Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2021-04-23,92,191013,0.65,0.0215,0.825,2.44e-05,0.0936,0.593,-4.645,0.0325,118.091,0,4
Anyone,Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,2021-01-01,81,190779,0.686,0.181,0.538,3.13e-06,0.113,0.584,-8.026,0.0345,115.884,2,4
Young Dumb & Broke,American Teen,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27,82,202546,0.799,0.199,0.539,1.66e-05,0.165,0.394,-6.351,0.0421,136.948,1,4
Uptown Girl,An Innocent Man,Billy Joel,5zA8vzDGqPl2AzZkEYQGKh,1983-08-08,79,197706,0.701,0.0755,0.944,0.0,0.601,0.792,-2.986,0.0455,128.993,4,4
Watermelon Sugar,Fine Line,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,90,174000,0.548,0.122,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39,0,4
There She Goes,The La's,The La's,4c6vZqYHFur11FbWATIJ9P,1990,70,162186,0.533,0.013,0.761,0.829,0.207,0.917,-10.632,0.0298,122.777,7,4
If the World Was Ending (feat. Julia Michaels),Dangerous Levels of Introspection,JP Saxe,77MdvMx9L4ZQuLhhn3o21h,2021-06-25,74,209493,0.429,0.866,0.486,0.0,0.0982,0.661,-9.971,0.101,146.99,1,4
This Town,Flicker (Deluxe),Niall Horan,0qvzXomUDJVaUboy2wMfiS,2017-10-20,80,232852,0.677,0.712,0.401,0.0,0.116,0.195,-8.467,0.0308,111.825,9,4
i'm so tired...,~how i'm feeling~,Lauv,4vjpLMyL3ZO6aphdYr8XYw,2020-03-06,79,162586,0.599,0.176,0.733,0.0,0.242,0.534,-7.058,0.203,102.211,11,4
I'm Still Standing,Too Low For Zero,Elton John,1jDJFeK9x3OZboIAHsY9k2,1983-05-30,82,183440,0.504,0.356,0.904,0.121,0.14,0.772,-6.863,0.179,176.808,6,4
Better,Suncity,Khalid,6zeeWid2sgw4lap2jV61PZ,2018-10-18,79,229320,0.596,0.0765,0.552,0.334,0.104,0.112,-10.278,0.097,97.949,0,4
Somebody That I Used To Know,Somebody That I Used To Know,Gotye,13b3kZAjZGltp76ed4u1m3,2011-01-01,61,244884,0.863,0.607,0.527,0.000168,0.107,0.674,-6.896,0.0358,129.054,0,4
Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,Marshmello,4qu63nuBpdn0qHUHuObEj1,2021-05-21,88,154983,0.721,0.00226,0.738,4.41e-06,0.118,0.637,-4.77,0.0403,119.976,7,4
In Your Eyes,After Hours,The Weeknd,7szuecWAPwGoV1e5vGu8tl,2020-03-20,83,237520,0.667,0.00285,0.719,8.1e-05,0.0736,0.717,-5.371,0.0346,100.021,7,4
Wildest Dreams,1989,Taylor Swift,59HjlYCeBsxdI0fcm3zglw,2014-10-27,75,220440,0.553,0.0709,0.664,0.0056,0.106,0.467,-7.417,0.0741,140.06,8,4
September,"The Essential Earth, Wind & Fire","Earth, Wind & Fire",3wpLkju0bJy89kjgdRys0j,2014-03-25,63,215080,0.694,0.165,0.831,0.000892,0.25,0.98,-7.288,0.0301,125.901,9,4
WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,27OeeYzk6klgBh83TSvGMA,2020-11-06,86,161384,0.662,0.213,0.413,0.0,0.134,0.467,-7.357,0.0299,93.005,0,4
Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,59dLtGBS26x7kc0rHbaPrq,2010-04-27,76,268320,0.688,0.386,0.853,0.0,0.0862,0.743,-5.814,0.0493,103.993,10,4
Dancing Queen,Arrival,ABBA,0GjEhVFGZW8afUYGChu3Rr,1976,82,230400,0.543,0.358,0.87,0.000939,0.792,0.754,-6.514,0.0428,100.804,9,4
Don't Go Breaking My Heart,Rock Of The Westies,Elton John,7HW5WIw7ZgZORCzUxv5gW5,1975-10-24,79,275440,0.729,0.149,0.844,2.87e-06,0.0604,0.777,-8.824,0.0344,131.459,5,4
Like I Can,In The Lonely Hour,Sam Smith,2TeLIzFBe3hxkPR5FIQZut,2014-05-26,86,167065,0.656,0.343,0.627,2.17e-05,0.124,0.481,-6.627,0.0379,99.933,7,4
Drops of Jupiter (Tell Me),Drops Of Jupiter,Train,2hKdd3qO7cWr2Jo0Bcs0MA,2001-03-27,80,259933,0.481,0.153,0.638,0.0,0.154,0.497,-5.862,0.0276,79.064,0,4
She Looks So Perfect,5 Seconds Of Summer,5 Seconds of Summer,1CQ2cMfrmFM1YdfmjENKVE,2014-06-27,74,202496,0.494,0.000569,0.951,0.0,0.327,0.441,-4.237,0.132,160.025,9,4
Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,6fRxMU4LWwyaSSowV441IU,2021-03-03,38,227395,0.713,0.0377,0.676,0.0,0.154,0.721,-5.483,0.027,99.048,10,4
Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,1mea3bSkSGXuIRvnydlB5b,2008-05-26,81,242373,0.486,0.0954,0.617,3.23e-06,0.109,0.417,-7.115,0.0287,138.015,5,4
Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,4HBZA5flZLE435QTztThqH,2020-05-08,86,228482,0.597,0.223,0.45,0.0,0.382,0.537,-6.658,0.0418,178.765,8,3
Jealous,Jealous - EP,Labrinth,4G92yYrUs0cvY7G41YRI0z,2014-11-23,80,287693,0.439,0.874,0.153,0.0,0.107,0.104,-8.95,0.0479,116.76,1,3
Blinding Lights,After Hours,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,93,200040,0.514,0.00146,0.73,9.54e-05,0.0897,0.334,-5.934,0.0598,171.005,1,4
We Are Young (feat. Janelle Monáe),Some Nights,fun.,5rgy6ghBq1eRApCkeUdJXf,2012-02-14,78,250626,0.378,0.02,0.638,7.66e-05,0.0849,0.735,-5.576,0.075,184.086,10,4
