name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Cry with you,Cry with you,Jeremy Zucker,0hqJxaNkPQ3sPm1tvfPlAe,2021-08-20,66,217044,0.51,0.321,0.307,1.5e-06,0.174,0.356,-9.921,0.101,159.794,2,3
Slow Dancing in a Burning Room,Continuum,John Mayer,2jdAk8ATWIL3dwT47XpRfu,2006-09-11,76,242000,0.667,0.575,0.361,0.00506,0.0805,0.29,-8.69,0.0273,134.018,1,5
Break My Heart Again,Break My Heart Again,FINNEAS,2is19a6HY7ZdWP654IMhEE,2018-02-09,68,238012,0.402,0.907,0.151,0.0,0.0941,0.483,-14.227,0.0395,144.293,4,4
Heather,Kid Krow,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,89,198040,0.357,0.584,0.425,0.0,0.322,0.27,-7.301,0.0333,102.078,5,3
down,down,Mokita,7pV0Yzu2NWogAAVHc9uSIt,2020-08-28,66,194680,0.524,0.789,0.391,0.0,0.0869,0.143,-9.021,0.041,148.009,4,4
Autumn Leaves - Deluxe Edition,+,Ed Sheeran,7iBSkXB0pTvZasOLf0Qxk9,2011-09-09,62,200755,0.555,0.892,0.257,1.42e-06,0.124,0.431,-12.637,0.0299,89.013,10,4
love/hate,love/hate,Matt Van,49wZPjRR4RbW09m3yNOVzq,2019-04-18,49,166027,0.534,0.837,0.209,8.36e-05,0.111,0.291,-11.883,0.034,145.697,5,4
The Night We Met,Strange Trails,Lord Huron,0QZ5yyl6B6utIWkxeBDxQN,2015-04-07,78,208211,0.545,0.969,0.366,0.267,0.641,0.1,-9.51,0.0378,86.997,2,3
listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,0tMSssfxAL2oV8Vri0mFHE,2019-03-29,78,242652,0.319,0.935,0.0561,0.00384,0.388,0.082,-23.023,0.045,79.764,0,3
Hollow,Hollow,Mills,2tCL2T0TTIOS0s70HCJP3L,2021-01-12,53,183379,0.291,0.69,0.285,5.42e-05,0.147,0.508,-9.74,0.0305,174.597,6,4
better off,better off,Jeremy Zucker,5NlV5HVIfgk5eHxvAGGTfy,2018-04-20,0,192920,0.72,0.803,0.316,0.00016,0.154,0.442,-12.532,0.0414,98.925,8,4
Gravity,Continuum,John Mayer,6OBZ78p8YaRPzKnQsZOggH,2006,0,245826,0.764,0.731,0.326,0.0013,0.24,0.237,-9.883,0.0342,123.98,7,3
Funeral,Stranger in the Alps (Deluxe Edition),Phoebe Bridgers,0xF4pgg7PrOG1HccKenJYz,2018-10-02,20,232373,0.215,0.947,0.263,0.00028,0.0919,0.307,-14.416,0.0378,172.332,11,4
that way - with Jeremy Zucker,that way (with Jeremy Zucker),Tate McRae,6W4SftknKhWj0iFoHN7aYU,2021-09-03,71,174299,0.394,0.573,0.398,0.0,0.313,0.361,-10.202,0.219,78.438,0,3
