name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
You're All I Want,You're All I Want,Cigarettes After Sex,4nvLuqwTOZdEJI1fcHXv8h,2020-05-26,69,264453,0.233,0.363,0.471,0.828,0.113,0.277,-10.947,0.0294,182.161,5,4
Tides,Tides,Bonobo,7rRYiBxeudiHMNmgptnne9,2021-10-20,66,226146,0.6,0.791,0.314,0.419,0.0681,0.201,-9.109,0.0351,126.948,4,4
Pink + White,Blonde,Frank Ocean,3xKsf9qdS1CyvXSMEid6g8,2016-08-20,81,184516,0.544,0.67,0.552,4.57e-05,0.415,0.554,-7.45,0.0991,159.738,9,3
I’ll Keep You Safe,I’ll Keep You Safe,Vluestar,3YfNhioGntblm6ciPsCwC9,2018-05-08,73,140338,0.54,0.802,0.341,0.00921,0.13,0.283,-10.399,0.0717,137.753,10,4
Water Theme,Winter Flower,Clams Casino,3teH1kAL5KrlUYosdt2nJI,2021-11-17,56,109761,0.295,0.178,0.357,0.625,0.452,0.352,-9.116,0.0312,160.108,4,4
I Need U,I Need U,yaeow,5lbdxt9C6rsELTimTkyMn8,2020-05-28,0,142588,0.402,0.513,0.405,0.0167,0.155,0.072,-12.486,0.0713,84.873,9,4
Sunrise,Sunrise,Kevitch,504BrFbtkCK5GG8U0wb2qb,2020-01-01,61,208744,0.609,0.527,0.389,0.113,0.11,0.144,-11.675,0.0341,138.037,5,4
Buzzed,Buzzed,¿Téo?,125DSBjIfOOCkmyRukprZT,2021-06-01,61,159732,0.599,0.652,0.484,0.0104,0.0962,0.371,-11.866,0.06,152.001,8,4
idc,idc,Kevitch,0wJLHHZerP72pehv0g4RVq,2021-10-14,56,143681,0.555,0.765,0.431,9.81e-05,0.364,0.0934,-8.87,0.0297,86.99,0,4
homebody,homebody,Kamal.,3I3ZmlSouhOYDHGWn3w0CW,2020-03-04,63,189000,0.762,0.575,0.244,0.000661,0.11,0.255,-14.089,0.0711,94.949,4,4
Bolero,Bolero,Bathe,74i9MJfZdRhcv6XnAfwjBA,2021-09-16,56,205133,0.734,0.644,0.473,0.0164,0.0998,0.471,-10.107,0.0424,107.454,11,4
Rings of Saturn,Apollo 8,Alann8h,6B2smPDLlM2Ms59jSB4pVH,2021-11-19,55,173008,0.521,0.342,0.487,2.57e-05,0.538,0.108,-8.501,0.0385,150.072,4,4
Not Around,Not Around,Nova,1Adhz5VVDZxhojOLfQQUxa,2019-08-04,78,183920,0.499,0.333,0.695,2.85e-06,0.659,0.235,-9.452,0.113,131.006,6,4
Rain,Rain,Lucy Park,72afDNRJsldkG7R02rRdA1,2020-08-28,60,151150,0.716,0.86,0.231,0.0393,0.112,0.231,-14.739,0.0527,107.049,0,4
TECTONIC PLATES,TECTONIC PLATES,Evann McIntosh,5dy9zUa1y7I15hEyC2LSPj,2021-08-25,56,220141,0.428,0.73,0.177,1.51e-05,0.115,0.133,-18.58,0.0535,111.945,0,4
Glass House,Glass House,PawPaw Rod,3JYPpZdVk0USJ3gtSajeV8,2021-05-20,12,171977,0.801,0.151,0.391,1.09e-05,0.137,0.86,-8.063,0.178,180.926,7,4
Fleur Blanche,Cutworks,Orsten,0vpxHngtbm6hrdQZHsmOMb,2011-01-31,60,252266,0.783,0.0121,0.402,0.896,0.168,0.613,-9.56,0.119,83.003,8,4
Sola,Sola,Nina Cobham,237dlPXLNIsatIRYKRbCWN,2020-03-27,0,198661,0.749,0.294,0.383,6.63e-05,0.115,0.334,-13.404,0.152,125.384,4,4
The Shaman,The Shaman,Joey Pecoraro,7FzTEzwDcjfxCFlNGkkrAU,2021-11-19,53,156144,0.677,0.848,0.46,0.891,0.118,0.23,-10.749,0.0434,82.971,8,4
Slipping Away,Slipping Away,LEISURE,0BCPHe2assdUDijB5gUuCU,2020-06-26,48,235506,0.707,0.427,0.546,0.17,0.101,0.774,-9.017,0.0399,78.007,11,4
Red Room,Red Room,Hiatus Kaiyote,0aefDhwto2nL2kTHIiil0J,2021-04-27,61,232053,0.687,0.631,0.361,0.00479,0.117,0.453,-9.782,0.0501,80.935,7,4
Ride,Ride,HYBS,7fyVBKYJYMP42nNr9RFTAT,2021-10-08,66,181622,0.757,0.788,0.393,0.000986,0.0501,0.715,-7.942,0.212,77.985,5,4
Magia,Magia,Monogem,4jMHWmtD14blSqbRhq2gjp,2021-08-26,54,199666,0.574,0.292,0.503,0.0269,0.0962,0.291,-9.919,0.0492,171.996,2,4
rises the moon,recently,Liana Flores,51Grh1RyUDcMBbpuyUIUHI,2019-04-10,78,161929,0.483,0.947,0.129,0.145,0.106,0.203,-20.149,0.0349,137.35,5,3
4:38am,The Color of Nothing,ford.,1mCS2aMR3hGZV1stAkjLcV,2020-10-16,0,226657,0.754,0.841,0.342,0.0312,0.109,0.349,-11.3,0.052,125.093,9,4
Time Moves Slow,IV,BADBADNOTGOOD,1I40L32fTSSkBkPeArX9Ul,2016-07-08,69,273864,0.619,0.471,0.381,0.0318,0.101,0.312,-10.691,0.0523,139.929,11,4
Love and Hate in a Different Time,Love and Hate in a Different Time,Gabriels,5FzrXX7WuiRpKSVVzUtIiB,2021-06-04,59,282177,0.785,0.564,0.363,0.452,0.0683,0.604,-9.02,0.0434,120.114,0,4
Yours,Yours,maye,0gmStTUTuiU807EB4KafOX,2021-02-12,61,220887,0.67,0.714,0.707,0.065,0.0634,0.799,-9.726,0.0358,89.008,11,4
interested,interested,Nina Cobham,1Ubu0Ux7X3QpsMUYIt3HFT,2021-05-26,57,193140,0.833,0.861,0.288,0.000155,0.138,0.23,-11.599,0.0783,126.002,8,4
moonlight,moonlight,dhruv,4d83gRvk3DHU5cWBbyOlSk,2020-02-21,55,159130,0.737,0.636,0.5,0.00138,0.104,0.561,-11.229,0.173,92.016,11,4
Crust,Yasuke,Flying Lotus,3KsS9NkC5ZlPAIWpGoL5Sx,2021-04-30,66,133520,0.676,0.576,0.408,0.867,0.201,0.226,-7.937,0.0811,106.515,9,3
Queen of Paisley,Queen of Paisley,Silas Short,2YwDDVHflNhUKgu70WR7OH,2021-08-04,48,244673,0.662,0.788,0.253,0.00145,0.144,0.333,-9.975,0.0685,74.029,10,4
Jazz Club After Hours,Jazz Club After Hours,Barry Can't Swim,0nPoWlU7nIz74B6px39NMz,2021-06-04,57,294211,0.724,0.0635,0.681,0.938,0.329,0.439,-10.32,0.0378,119.012,9,4
dreamin',dreamin',53 Thieves,4PlzJVdaRYC9Fg2AqlOxer,2020-02-07,61,207705,0.831,0.359,0.419,0.00228,0.0959,0.339,-7.381,0.44,84.983,1,4
Crazy,Crazy,Hope Tala,4P5tPq60W4LLYcoXLgWlYx,2020-10-15,59,259213,0.672,0.265,0.503,0.000321,0.204,0.465,-5.141,0.0464,60.496,2,4
It's Over Again,Going Going Gone,Mild High Club,660eXTPUwKkCOYvWIr6sPl,2021-09-17,53,127560,0.655,0.327,0.717,0.731,0.102,0.501,-7.447,0.037,96.221,5,4
walk but in a garden,walk but in a garden,LLusion,37bzRWttPZDNdJs24NZaUG,2019-06-19,0,110250,0.773,0.859,0.403,0.944,0.1,0.537,-11.617,0.0449,80.003,8,4
12:34 AM,12:34 AM,Billy Lemos,16iNVfWKKZPDjctIcd0KMn,2017-06-27,66,127000,0.711,0.656,0.473,0.0666,0.119,0.32,-11.971,0.116,90.001,1,4
Garfield's Starfield,Garfield's Starfield,Recess Radio,0sCyvGDXenmkGZdcwdamQl,2021-08-07,51,184615,0.848,0.17,0.447,8.76e-06,0.0856,0.863,-7.587,0.383,155.952,1,4
No Trouble,Drugstore Heaven,Houses,2cd4QBg7XpGuSxq0yVHK2j,2021-04-02,51,219373,0.527,0.509,0.354,0.752,0.0937,0.242,-14.037,0.0359,89.98,7,4
Sleep Away,Sleep Away,Pastel,0yI8QQG8rKIYMMdIUJsllk,2021-11-12,47,181714,0.616,0.83,0.204,0.753,0.333,0.471,-16.436,0.0509,69.97,0,4
But There's Still the Moon,But There's Still the Moon,Tasha,0tA5pH2uW1fKCQ44khDie8,2020-04-16,0,219660,0.662,0.342,0.36,0.013,0.117,0.271,-11.924,0.0303,125.848,8,4
Løb Stop Stå,Mellem Dine Læber,Boom Clap Bachelors,3wyLILirr6oFIFw1vYuktv,2020-08-07,53,288617,0.493,0.866,0.335,0.00174,0.115,0.279,-13.986,0.218,93.603,0,4
peppermint,peppermint,lavender,1YjEwY8FrctMA4MX0RkdRx,2020-07-10,56,132915,0.564,0.895,0.379,0.257,0.0874,0.564,-7.732,0.0391,104.912,4,4
