name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Nothing,To Let A Good Thing Die,Bruno Major,2IAR0DziHCjSu16gR4ihvy,2020-06-05,85,162797,0.555,0.931,0.27,0.536,0.103,0.274,-15.892,0.0884,139.691,2,3
this is what falling in love feels like,this is what falling in love feels like,JVKE,4UG2Fm0E98LhE2dlNxiAXx,2021-09-03,80,120308,0.424,0.617,0.438,0.0,0.0837,0.325,-5.53,0.0553,128.983,11,5
Daylight,Daylight,Joji,6Ed1q0X8oSKSm4IIhiQbYg,2020-08-06,74,163905,0.528,0.00488,0.749,9.6e-05,0.0949,0.729,-7.571,0.0479,163.944,7,4
Falling For You with Justin Bieber,CTV3: Cool Tape Vol. 3,Jaden,24MWSatP5sTylISvJONhnB,2020-08-28,65,222717,0.69,0.721,0.541,4.64e-05,0.112,0.787,-9.259,0.042,130.024,4,4
Space Makes Me Sad,Space Makes Me Sad,Fiji Blue,4CdAmV6qgACPWHxjCrf7fp,2019-06-13,48,136419,0.556,0.389,0.431,0.000428,0.186,0.596,-10.254,0.187,90.413,6,4
Moon,Donda,Kanye West,2Rd4eJ4KwXQQn2sMSToyUM,2021-08-29,66,156091,0.319,0.898,0.236,1.62e-05,0.272,0.254,-9.644,0.0318,162.351,5,4
Nothing's the Same,Nothing's the Same,Alexander 23,3NllHdYknM2F6UxxGevXWc,2020-12-11,0,175041,0.735,0.528,0.32,0.00271,0.215,0.401,-11.32,0.0437,132.853,11,4
this is how you fall in love,this is how you fall in love,Jeremy Zucker,0742PcMPo2Akmo4vHC29VZ,2021-01-15,7,174586,0.52,0.733,0.204,2.53e-05,0.126,0.274,-12.488,0.0355,79.682,7,4
Till Forever Falls Apart,Till Forever Falls Apart,Ashe,2769RhOZs0ezRncRW1vryp,2021-03-02,74,222860,0.509,0.413,0.498,0.0,0.0674,0.283,-6.94,0.0315,99.729,2,4
Astronomy,Astronomy,Conan Gray,0KmgJyW4GDgonqsoyx0CZ3,2021-05-07,78,243907,0.471,0.593,0.335,2.11e-05,0.297,0.111,-8.767,0.0273,145.252,4,3
Painkiller,Painkiller,Ruel,1abFkY2jm6KDFMZ7RD9YJh,2019-04-30,63,213597,0.675,0.105,0.414,0.0,0.192,0.439,-6.508,0.0569,128.927,5,4
AM I DREAMING (feat. Miley Cyrus),MONTERO,Lil Nas X,6isTQfKXhNO3EyJd9mSxx8,2021-09-17,75,183241,0.629,0.77,0.445,2.92e-06,0.351,0.209,-6.999,0.0258,94.103,3,4
hungover sunday,hungover sunday,Christian French,3jGlOBjMJiNDWhdqRJl5dK,2019-07-12,61,180402,0.673,0.853,0.327,0.0,0.103,0.449,-7.67,0.0827,82.729,2,4
cowboy in LA,cowboy in LA,LANY,0E6uWutxRjIDhleURR92do,2020-09-16,1,213800,0.624,0.407,0.393,0.0,0.118,0.728,-8.916,0.0333,177.963,8,4
Brainstorm,Brainstorm,Alexander 23,3VcFoOwKYurSedLtz9nFJC,2020-10-09,0,186000,0.658,0.823,0.317,0.00548,0.111,0.262,-12.318,0.0424,76.849,11,4
Put Your Records On,Put Your Records On,Ritt Momney,1fah1uAs7HeTYDlNftKr3K,2020-04-24,1,210463,0.399,0.058,0.492,0.00101,0.11,0.159,-10.777,0.0538,91.066,6,4
Cry with you,Cry with you,Jeremy Zucker,0hqJxaNkPQ3sPm1tvfPlAe,2021-08-20,66,217044,0.51,0.321,0.307,1.5e-06,0.174,0.356,-9.921,0.101,159.794,2,3
Coffee,Coffee,Quinn XCII,1VbClJ27jcsMNmOxHnXlKV,2020-05-01,0,180053,0.831,0.0803,0.452,0.0,0.359,0.534,-5.111,0.047,93.04,5,4
What They'll Say About Us,What They'll Say About Us,FINNEAS,27Y1N4Q4U3EfDU5Ubw8ws2,2020-09-02,51,187601,0.535,0.895,0.314,0.00015,0.0874,0.0663,-12.823,0.0408,145.095,7,4
Heat Waves,Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f,2020-06-29,90,238805,0.761,0.44,0.525,6.7e-06,0.0921,0.531,-6.9,0.0944,80.87,11,4
Good Days,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,2020-12-25,86,279204,0.436,0.499,0.655,8.1e-06,0.688,0.412,-8.37,0.0583,121.002,1,4
"always, i'll care","always, i’ll care",Jeremy Zucker,1LdS1ULS9e18oW3M2C1MUj,2020-02-07,27,146146,0.784,0.918,0.278,0.000196,0.112,0.741,-10.745,0.041,105.034,6,4
nobody else,mama's boy,LANY,7GLBqDKAJLCLIsj2GEDkSw,2020-10-02,61,197480,0.569,0.744,0.291,0.0,0.137,0.313,-14.509,0.043,151.659,0,4
Feels (feat. Khalid),Feels (feat. Khalid),WATTS,6LZ9FO9UsGIcTKbShnfNsG,2021-03-12,68,221974,0.548,0.273,0.35,0.0041,0.362,0.0802,-12.52,0.0579,167.682,7,4
Smokin Out The Window,Smokin Out The Window,Bruno Mars,4iN16F8JtVxG2UTzp3avGl,2021-11-05,91,197442,0.627,0.0558,0.618,0.0,0.351,0.848,-8.529,0.0437,82.03,2,4
Six Feet Apart,Six Feet Apart,Alec Benjamin,22AJMMJMaQ3qtTwlegrKcm,2020-04-09,64,173705,0.492,0.811,0.378,0.0,0.136,0.497,-7.117,0.0304,110.907,5,4
I Like It When You Love Me,Home Tapes,Oh Wonder,6UiS2IW9dEZwC6TluY5zSy,2020-05-01,2,226560,0.481,0.824,0.432,0.000347,0.105,0.194,-11.982,0.383,83.595,5,4
right here,right here,keshi,2xnNgKhyMl9MxBmRNGnBJP,2019-09-24,31,194906,0.619,0.378,0.445,0.0,0.151,0.35,-10.332,0.0503,160.125,5,4
airplane thoughts,airplane thoughts,dhruv,6LyNmMNe5Xomr3MFL6dS7n,2021-09-28,58,210405,0.677,0.83,0.454,8.55e-05,0.274,0.273,-8.555,0.0673,80.045,2,4
i don't want to watch the world end with someone else,i don't want to watch the world end with someone else,Clinton Kane,58qX77t2VWMWcycsh9zKLc,2020-05-08,74,184505,0.535,0.771,0.359,0.0,0.111,0.488,-9.343,0.0607,154.163,2,4
colorblind,colorblind,Mokita,3IpYb4BekvsgmZKwI2ZDu0,2019-11-01,1,193976,0.661,0.125,0.772,0.00015,0.119,0.186,-5.054,0.0362,146.002,8,4
dancing in the kitchen,dancing in the kitchen,LANY,0ohcCrxZkBfFbkuRPOZQZX,2021-06-25,74,208599,0.619,0.0328,0.736,0.0,0.0864,0.299,-7.651,0.0425,93.993,11,4
IDK You Yet,IDK You Yet,Alexander 23,47EWMOElkkbMp5m9SBkx7d,2020-04-09,5,184638,0.629,0.884,0.306,0.0776,0.124,0.191,-11.735,0.0424,76.994,1,1
Back To My Bed,Back To My Bed,Elderbrook,0NHBjddjKTkJQvEb5oTilt,2020-09-16,64,202106,0.771,0.313,0.729,0.00452,0.236,0.689,-7.554,0.0372,124.047,4,4
Fake,Fake,Lauv,4Gt2kh3QbAGU6yquOWn4aW,2020-10-13,74,146375,0.703,0.139,0.657,0.0,0.093,0.455,-5.363,0.0783,82.96,4,4
Your Power,Your Power,Billie Eilish,5qNh5WtzMbfpSj2jLlBkoD,2021-04-29,40,245896,0.634,0.937,0.285,0.000359,0.232,0.203,-14.007,0.0807,129.65,9,4
"Hey Stupid, I Love You","Hey Stupid, I Love You",JP Saxe,5inDa3sWj8zqJBOdj7Bjqc,2020-06-25,70,181000,0.758,0.218,0.594,5.32e-06,0.0798,0.869,-9.63,0.426,91.864,5,4
