name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,18UsAG7SfOQ5sxJEdjAMH0,2018-11-30,74,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3
i don't want to watch the world end with someone else,i don't want to watch the world end with someone else,Clinton Kane,58qX77t2VWMWcycsh9zKLc,2020-05-08,74,184505,0.535,0.771,0.359,0.0,0.111,0.488,-9.343,0.0607,154.163,2,4
Your Power,Your Power,Billie Eilish,5qNh5WtzMbfpSj2jLlBkoD,2021-04-29,40,245896,0.634,0.937,0.285,0.000359,0.232,0.203,-14.007,0.0807,129.65,9,4
N Y L A,N Y L A,blackbear,2C9KY6pNn5jJF6gCkSywPF,2013-08-23,0,300174,0.35,0.797,0.333,0.0,0.357,0.259,-10.032,0.0314,104.991,9,5
Heather,Kid Krow,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,89,198040,0.357,0.584,0.425,0.0,0.322,0.27,-7.301,0.0333,102.078,5,3
Closure,Closure,Hayd,0mKQl9k1EErmEPk11aWZEl,2021-04-01,38,196277,0.696,0.967,0.106,0.0,0.292,0.35,-16.185,0.0458,124.168,2,4
The Night We Met,Strange Trails,Lord Huron,6mORGLOz79w6VsCRLWYYuK,2015-04-06,2,208211,0.443,0.969,0.369,0.277,0.638,0.0989,-9.514,0.0441,174.107,9,3
"1 step forward, 3 steps back",SOUR,Olivia Rodrigo,4wcBRRpIfesgcyUtis7PEg,2021-05-21,82,163586,0.473,0.941,0.203,0.0,0.126,0.419,-12.627,0.102,168.884,2,4
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,240133,0.567,0.839,0.267,1.46e-06,0.089,0.0592,-6.502,0.0299,110.011,4,4
Atlantis,Tell Me It's Real (Expanded Edition),Seafret,1Fid2jjqsHViMX6xNH70hE,2016-01-29,77,229173,0.4,0.0529,0.479,2.14e-06,0.115,0.213,-7.989,0.0308,166.159,8,4
You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,20R40KmQrdwKES14PmDwaf,2021-03-19,58,199144,0.701,0.732,0.39,0.0,0.107,0.457,-8.235,0.032,119.956,5,4
Meant To Be,Meant To Be,Ber,136J2Jkg8sG7P5wilO9P1R,2021-10-06,71,163226,0.5,0.87,0.156,0.0,0.125,0.405,-11.472,0.0469,173.794,1,4
Moondust - Stripped; EP Version,Habits of My Heart,Jaymes Young,3mBCTEzhxcv6jLaxXoOvWs,2014-09-28,58,216720,0.556,0.928,0.132,0.0,0.128,0.236,-13.38,0.0457,73.04,6,4
Julia,~how i'm feeling~,Lauv,4Gyo5XZzmZawnpqaRRedKu,2020-03-06,62,218000,0.458,0.906,0.13,0.0,0.152,0.333,-14.575,0.0807,162.487,11,3
Sweater Weather - Spotify Sessions Curated by Jim Eno,Spotify Sessions,The Neighbourhood,7sDzAu7alAL1hWvL86tSGB,2013-06-18,53,191560,0.61,0.981,0.165,0.000544,0.134,0.258,-14.659,0.0502,102.68,8,4
Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,1wVuPmvt6AWvTL5W2GJnzZ,2010-10-05,80,217866,0.498,0.511,0.59,0.0,0.107,0.0784,-4.721,0.032,145.867,1,4
that way - with Jeremy Zucker,that way (with Jeremy Zucker),Tate McRae,6W4SftknKhWj0iFoHN7aYU,2021-09-03,71,174299,0.394,0.573,0.398,0.0,0.313,0.361,-10.202,0.219,78.438,0,3
I Found,Pilot EP,Amber Run,4lRuRtvftdSSUA7hLP7zAr,2014-09-21,61,274226,0.28,0.879,0.317,0.00731,0.108,0.236,-12.433,0.0474,186.471,7,3
In Vain,Sucker Punch,Sigrid,7sKhiUAsdwtcTcJggB1q2Y,2019-03-08,43,247962,0.624,0.369,0.365,0.0,0.357,0.359,-7.78,0.0395,76.764,7,4
Godspeed,Godspeed,James Blake,5WfACgyEk4rwdWU3rrzNt1,2020-09-11,66,173840,0.395,0.916,0.174,0.00602,0.104,0.221,-10.313,0.043,73.773,6,3
Strange,Not Your Muse (Deluxe),Celeste,7sq2z9oX2S0CvgTqCZ0ko4,2021-01-29,77,255986,0.286,0.934,0.0847,6.94e-06,0.121,0.112,-9.883,0.0397,70.743,2,4
All I Want,In A Perfect World,Kodaline,2PwXOevGUSkU8qaYZjgLq2,2013-10-08,0,305746,0.209,0.172,0.412,0.15,0.0843,0.162,-9.733,0.0443,86.26,0,3
The Enemy,Black Bear,Andrew Belle,6xJOhSm4SvZwzy3uhWz26O,2013-08-20,66,286865,0.536,0.078,0.89,0.0202,0.131,0.273,-5.222,0.0375,121.974,1,4
drivers license,drivers license,Olivia Rodrigo,7lPN2DXiMsVn7XUKtOW1CS,2021-01-08,38,242013,0.585,0.721,0.436,1.31e-05,0.105,0.132,-8.761,0.0601,143.874,10,4
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,6CcJMwBtXByIz4zQLzFkKc,2019-03-29,82,291796,0.421,0.952,0.131,0.00453,0.109,0.12,-18.435,0.0382,137.446,0,4
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,1TQXIltqoZ5XXyfCbAeSQQ,2019-06-28,82,197732,0.629,0.768,0.328,2.5e-05,0.103,0.389,-8.284,0.029,74.953,11,4
Unlearn (with Gracie Abrams),Unlearn (with Gracie Abrams),benny blanco,6GH4tLwGW6HliKbZBdt6hD,2021-03-24,68,155361,0.429,0.897,0.214,0.0,0.105,0.189,-12.261,0.242,77.849,1,4
Landslide,Fleetwood Mac,Fleetwood Mac,5ihS6UUlyQAfmp48eSkxuQ,1975-07-11,78,199493,0.414,0.883,0.161,0.000223,0.117,0.423,-22.32,0.0318,159.375,7,4
Work Song,Hozier (Special Edition),Hozier,67Toy6jG5s1SsmkvXQulzp,2014-11-06,0,229715,0.532,0.767,0.389,0.0,0.112,0.227,-7.597,0.0769,119.416,10,4
when the party’s over,Covers,James Blake,0U9oiRl4hYwORmWwkYihZN,2020-12-11,59,193015,0.468,0.993,0.171,0.14,0.0954,0.156,-12.965,0.0432,135.655,9,3
5AM,5AM (Expanded Edition),Amber Run,4B4kunXhV2ZKnYcvDgAFoE,2015-04-20,61,257906,0.357,0.244,0.433,0.00636,0.0808,0.089,-11.521,0.0418,145.736,0,4
Prayer,Prayer,Keaton Henson,7bY5R1aMqo72yntoqhw72e,2020-08-12,47,357080,0.25,0.973,0.0406,0.0805,0.1,0.0385,-17.224,0.035,101.474,1,3
Look After You,How To Save A Life,The Fray,5l6hpyTGBK0LAAxgPnqTQL,2005-09-13,74,266773,0.447,0.0575,0.592,4.47e-06,0.13,0.283,-3.015,0.0319,78.039,6,4
Skinny Love,"For Emma, Forever Ago",Bon Iver,0zP8BJOamm7Q9aNMwCby55,2007-07-08,0,238520,0.565,0.843,0.257,3.03e-06,0.109,0.111,-14.04,0.0579,76.493,0,4
Breakeven,The Script,The Script,1fyysXwSGNtMeqMBLwW3SI,2008-07-14,67,261426,0.63,0.144,0.694,0.0,0.0835,0.49,-4.501,0.0242,94.034,10,4
Stay,Stay,Abraham Alexander,4zu19OtPZq8ljWVhPthram,2019-07-16,51,229415,0.537,0.223,0.344,0.0,0.113,0.233,-9.934,0.132,98.469,3,4
It's Ok If You Forget Me,It's Ok If You Forget Me,Astrid S,312zSwwbPU7C3sTmro4Wx9,2020-09-18,71,204989,0.562,0.526,0.379,0.0,0.151,0.258,-7.625,0.231,171.848,6,4
Oceans,Oceans - EP,Seafret,7Cia4WzapwjMr0NUQF8vf3,2015-01-21,56,216186,0.404,0.274,0.48,8.63e-06,0.132,0.2,-8.906,0.0303,129.162,9,3
Every Time You Go Away,Spotify Singles,Lennon Stella,5OtvDpNhxUde1hkAjvzSzE,2020-08-19,66,265652,0.322,0.894,0.127,5.99e-05,0.143,0.119,-14.197,0.0352,144.2,7,4
If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,2019-10-17,83,208687,0.464,0.866,0.473,0.0,0.109,0.604,-10.086,0.129,75.801,1,4
"I miss you, I’m sorry","I miss you, I’m sorry",Gracie Abrams,1tF7RL54zjHSy0N2qEQLDY,2020-04-08,0,167538,0.617,0.734,0.451,1.56e-06,0.128,0.161,-6.096,0.0481,109.757,7,4
Someone New,Goddess (Deluxe),BANKS,0oWGyNpVZmIHrUfih4kOuX,2014-01-01,25,281017,0.581,0.923,0.225,0.000216,0.117,0.373,-12.764,0.0333,87.12,6,4
Fix It to Break It,Fix It to Break It,Clinton Kane,1uviKYHZuM4uINK33F7sCt,2020-03-27,69,198798,0.493,0.845,0.461,0.0,0.115,0.35,-8.524,0.0456,51.414,2,4
Crazy in Love,Crazy in Love,Eden Project,5iJS04ZXjMkQZ5nS0PsIeY,2015-01-01,63,265456,0.569,0.871,0.316,0.0,0.115,0.235,-9.762,0.0475,118.297,11,4
Are you happy?,Sad Songs,SHY Martin,6s86N7LVaJZuU4alwKp6XO,2020-08-07,70,157555,0.632,0.714,0.578,0.0,0.42,0.297,-7.657,0.0905,139.324,9,4
Heart Like Yours,If I Stay (Original Motion Picture Soundtrack),Various Artists,3JOF9NzQVkUXtCcJbEQuAb,2014-08-22,64,199960,0.465,0.874,0.259,0.0,0.102,0.337,-9.849,0.0318,93.301,7,4
Lonely,Lonely,Noah Cyrus,3Lp8Xd2K7TwlY32SPvXkvF,2019-09-27,0,144386,0.594,0.779,0.26,0.0,0.0924,0.303,-9.062,0.0601,84.648,5,3
