name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Bellevue,Doldrums,Franz Becker,2Djv53hoQWobBuNHkSKpXC,2020-05-08,48,201500,0.332,0.996,0.0191,0.951,0.117,0.222,-29.569,0.0395,91.149,7,4
Sky,Nostalgia,Masaki Kawasaki,1K9UBbr4hJfl9GSL0el09P,2019-08-26,0,153000,0.453,0.984,0.0973,0.921,0.118,0.285,-22.813,0.041,114.028,3,4
Pour toujours,Pour toujours,Bernadette Boulet,6vkmvL8i9sfIHoAlzJcfAO,2021-01-15,62,144576,0.227,0.994,0.0643,0.915,0.104,0.31,-29.419,0.0461,165.015,0,4
West Virginia,Rites of Passage,Chris Donner,2733cS6pVTBtpTCrf8lbeQ,2020-08-07,40,309000,0.475,0.995,0.0123,0.932,0.12,0.289,-29.586,0.0476,79.726,0,4
supine,hopes,Teodor Wolgers,7IMGJM5S0YYcQhvtdeJH14,2019-11-08,58,208000,0.533,0.993,0.0608,0.88,0.109,0.527,-30.09,0.0283,95.974,6,4
Feel Like April,Feel Like April,Wataru Sato,1cgfxn9YQ0dFQ7MzWwHsQf,2020-05-27,37,220609,0.29,0.983,0.251,0.867,0.186,0.427,-22.438,0.0563,135.313,10,4
Two Dogs,A Quiet House,Tim Tulsa,1Tdur1cMW2Lz1D9nWWEJQ9,2018-02-27,28,123393,0.606,0.995,0.0333,0.944,0.0732,0.334,-29.235,0.0402,65.006,1,3
The Endless Winter,The Endless Winter,Sub-City Keys,2X8hpFc05bqx2vkvUw3GhP,2019-02-01,45,178276,0.499,0.995,0.01,0.956,0.113,0.226,-29.61,0.0499,65.686,5,4
Alt jeg tør,Alt jeg tør,Elise Lindahl,6oCUME6tmQJi4LPHogLpUV,2021-01-15,55,142000,0.415,0.994,0.00179,0.944,0.126,0.0782,-33.759,0.0469,109.399,10,4
Can´t Help Smiling,Winter Unflorished,James DiResta,2iVPty0FBstGSURghngIgo,2021-01-22,42,164000,0.293,0.979,0.0383,0.893,0.108,0.109,-32.528,0.0338,97.153,0,3
A Busy Day,Piano 1 (Extended),Robin Bennich,1BIB1xG9pSf8bDX5c2Jo9d,2019-09-06,40,100167,0.138,0.971,0.185,0.944,0.11,0.509,-23.037,0.0405,93.077,9,4
Linger On,Doldrums,Franz Becker,0Uhd2WC2q53YCbZ5NVNYoB,2020-05-08,42,221000,0.466,0.995,0.0153,0.961,0.0755,0.258,-30.572,0.0349,87.565,9,4
Heartland,Heartland,Lihua Zhao,0M3DaTZsuttjClg5VG8exA,2021-10-08,57,208500,0.325,0.974,0.0762,0.933,0.097,0.141,-28.507,0.0367,123.907,4,4
Cherry Trees 桜,Cherry Trees 桜,Asuka Eiko,4YNhjGtSnzvyZCo3Gd5GPT,2019-04-26,36,126915,0.569,0.992,0.141,0.958,0.114,0.322,-21.821,0.0844,163.831,10,4
The Garden,The Garden,Vita Menzer,2OaoXYurShXZuFU5hmUva6,2019-05-17,49,147430,0.505,0.994,0.0191,0.947,0.108,0.263,-27.918,0.0476,75.254,11,3
Wonder,Lucid Dreamin' II,Arelius,0LRjR9cx8rJDYTRIHq7rxp,2019-05-27,50,162000,0.224,0.981,0.234,0.896,0.101,0.121,-18.905,0.0341,134.615,6,4
Fugetsu,Fugetsu,Sayuri Hayashi Egnell,5289GXfRrGAs7fAwiVkqzT,2021-10-15,27,182943,0.418,0.975,0.102,0.93,0.139,0.26,-21.265,0.0436,110.15,0,3
Love Is About Daily Leaps,Love Is __ (Music From The Original TV Series),Akira Kosemura,1Ja4NlTHvkVc45El8wpDHC,2020-02-28,27,240546,0.293,0.991,0.23,0.905,0.0866,0.24,-22.315,0.0409,139.809,5,1
Fiorire,Ariosa,Carluccio,1nxWCkjlOdwRwyROs99UNv,2021-03-19,59,177000,0.326,0.991,0.058,0.946,0.107,0.179,-26.438,0.037,94.49,3,3
In The Mood For Dreaming,In The Mood For Dreaming,Andrea Monet,163EpITIjkN1ky0odOKy1b,2020-10-16,51,183250,0.364,0.996,0.0107,0.964,0.113,0.198,-30.661,0.07,66.759,3,5
Follow The Wind,Follow The Wind,Jett Ingram,5TsrzBIJvEJXoujkVVY6be,2021-05-28,59,144750,0.219,0.984,0.0254,0.945,0.106,0.0397,-29.789,0.045,109.354,3,3
Bartram's Garden,Bartram's Garden,Zachary Patel,0E97LEEOz5rk6wAJr6rNI3,2020-03-20,52,143000,0.399,0.996,0.0653,0.955,0.105,0.33,-28.599,0.0688,67.465,4,4
Cathedral,As the sun slowly sets,Nicholas Wright,4G622Kla5qjsJlw5bkE20e,2021-04-09,59,199624,0.426,0.992,0.0134,0.939,0.114,0.164,-30.907,0.0494,75.897,3,1
